threshold,min_results,max_results,retrieval_weight,llm_weight,recall,precision,f1,avg_result_count,kb1_recall,kb2_recall,kb3_recall,exact_match,any_match
0.6,16,22,0.0,1.0,0.6567379705423777,0.4137342149543934,0.495519176497224,16.58823529411765,0.7392390289449112,0.6348039215686274,0.4068627450980392,0.0,1.0
0.55,18,22,0.0,1.0,0.6976066306060842,0.3977204597947632,0.4949189744336505,18.41176470588235,0.7995331465919701,0.655392156862745,0.4068627450980392,0.0,1.0
0.6,16,24,0.0,1.0,0.6567379705423777,0.41284294935724547,0.49465412459410985,16.647058823529413,0.7392390289449112,0.6348039215686274,0.4068627450980392,0.0,1.0
0.55,16,22,0.0,1.0,0.6631879189427905,0.4096990257309416,0.49431928625706023,16.941176470588236,0.7483426704014939,0.6406862745098039,0.4068627450980392,0.0,1.0
0.55,18,24,0.0,1.0,0.6976066306060842,0.3968291941976152,0.49405392253053626,18.470588235294116,0.7995331465919701,0.655392156862745,0.4068627450980392,0.0,1.0
0.6,18,22,0.0,1.0,0.6927046698217706,0.3983555144545856,0.4940154898726707,18.264705882352942,0.7904295051353875,0.655392156862745,0.4068627450980392,0.0,1.0
0.55,16,24,0.0,1.0,0.6631879189427905,0.40880776013379366,0.4934542343539461,17.0,0.7483426704014939,0.6406862745098039,0.4068627450980392,0.0,1.0
0.55,18,20,0.0,1.0,0.6917242776649077,0.3973512211902305,0.49322485103649105,18.264705882352942,0.7946311858076563,0.6455882352941176,0.4068627450980392,0.0,1.0
0.6,18,24,0.0,1.0,0.6927046698217706,0.3974642488574377,0.49315043796955643,18.323529411764707,0.7904295051353875,0.655392156862745,0.4068627450980392,0.0,1.0
0.6,16,20,0.0,1.0,0.6508556176012013,0.4122827252676096,0.4929337875029166,16.5,0.7343370681605976,0.625,0.4068627450980392,0.0,1.0
0.5,14,22,0.1,0.9,0.6500618551201323,0.412468215074753,0.49274010538968194,16.470588235294116,0.717436974789916,0.651470588235294,0.41666666666666663,0.0,1.0
0.55,16,20,0.0,1.0,0.657305566001614,0.4093297871264089,0.4926251628599008,16.794117647058822,0.7434407096171801,0.6308823529411764,0.4068627450980392,0.0,1.0
0.25,8,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.25,10,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.25,12,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.25,14,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.25,16,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.25,18,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.3,8,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.3,10,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.3,12,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.3,14,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.3,16,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.3,18,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.35,8,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.35,10,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.35,12,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.35,14,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.35,16,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.35,18,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.4,8,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.4,10,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.4,12,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.4,14,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.4,16,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.4,18,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.45,8,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
0.45,10,18,0.0,1.0,0.6841485200891502,0.3986928104575163,0.4919699682899181,18.0,0.7855275443510737,0.6357843137254902,0.4068627450980392,0.0,1.0
