source_file,contract_id,split,expected_kb_ids,predicted_kb_ids,matched_kb_ids,missing_kb_ids,unexpected_kb_ids,recall,precision,f1,result_count,kb1_recall,kb2_recall,kb3_recall,exact_match,any_match
C41_GranitePeak.pdf,C41,holdout,KB1_1; KB1_17; KB1_5; KB1_6; KB2_1; KB2_12; KB3_16,KB1_1; KB1_12; KB1_15; KB1_16; KB1_17; KB1_18; KB1_2; KB1_3; KB1_4; KB1_6; KB1_7; KB2_1; KB2_10; KB2_12; KB2_13; KB2_15; KB3_10; KB3_16; KB3_18,KB1_1; KB1_17; KB1_6; KB2_1; KB2_12; KB3_16,KB1_5,KB1_12; KB1_15; KB1_16; KB1_18; KB1_2; KB1_3; KB1_4; KB1_7; KB2_10; KB2_13; KB2_15; KB3_10; KB3_18,0.8571428571428571,0.3157894736842105,0.46153846153846156,19,0.75,1.0,1.0,False,True
C42_Driftwood.pdf,C42,tune,KB1_1; KB1_2; KB2_15; KB3_15,KB1_1; KB1_17; KB1_18; KB1_2; KB1_4; KB1_6; KB1_7; KB2_1; KB2_13; KB2_15; KB2_16; KB2_2; KB2_3; KB3_15; KB3_16; KB3_17,KB1_1; KB1_2; KB2_15; KB3_15,,KB1_17; KB1_18; KB1_4; KB1_6; KB1_7; KB2_1; KB2_13; KB2_16; KB2_2; KB2_3; KB3_16; KB3_17,1.0,0.25,0.4,16,1.0,1.0,1.0,False,True
C43_Foxglove.pdf,C43,holdout,KB1_1; KB1_12; KB1_3; KB1_4; KB2_1; KB2_2; KB2_3; KB3_17,KB1_1; KB1_15; KB1_16; KB1_17; KB1_18; KB1_6; KB2_1; KB2_10; KB2_11; KB2_12; KB2_13; KB2_15; KB2_2; KB2_3; KB3_10; KB3_18,KB1_1; KB2_1; KB2_2; KB2_3,KB1_12; KB1_3; KB1_4; KB3_17,KB1_15; KB1_16; KB1_17; KB1_18; KB1_6; KB2_10; KB2_11; KB2_12; KB2_13; KB2_15; KB3_10; KB3_18,0.5,0.25,0.3333333333333333,16,0.25,1.0,0.0,False,True
C44_CascadePoint.pdf,C44,tune,KB1_1; KB1_17; KB1_5; KB1_6; KB1_8; KB1_9; KB2_1; KB2_12; KB2_4; KB2_6; KB3_5,KB1_1; KB1_15; KB1_17; KB1_18; KB1_2; KB1_5; KB1_6; KB1_7; KB2_1; KB2_10; KB2_11; KB2_13; KB2_15; KB3_10; KB3_15; KB3_18,KB1_1; KB1_17; KB1_5; KB1_6; KB2_1,KB1_8; KB1_9; KB2_12; KB2_4; KB2_6; KB3_5,KB1_15; KB1_18; KB1_2; KB1_7; KB2_10; KB2_11; KB2_13; KB2_15; KB3_10; KB3_15; KB3_18,0.45454545454545453,0.3125,0.3703703703703703,16,0.6666666666666666,0.25,0.0,False,True
C45_Birchmere.pdf,C45,tune,KB1_1; KB1_15; KB1_17; KB1_6; KB2_1; KB2_10; KB2_12; KB3_18,KB1_1; KB1_12; KB1_14; KB1_17; KB1_18; KB1_2; KB1_3; KB1_4; KB1_5; KB1_6; KB1_7; KB2_1; KB2_12; KB2_13; KB2_15; KB3_16,KB1_1; KB1_17; KB1_6; KB2_1; KB2_12,KB1_15; KB2_10; KB3_18,KB1_12; KB1_14; KB1_18; KB1_2; KB1_3; KB1_4; KB1_5; KB1_7; KB2_13; KB2_15; KB3_16,0.625,0.3125,0.4166666666666667,16,0.75,0.6666666666666666,0.0,False,True
C46_Harborview.pdf,C46,holdout,KB1_1; KB1_10; KB1_17; KB1_3; KB1_4; KB1_6; KB1_8; KB2_1; KB2_12; KB2_2; KB2_4; KB3_1; KB3_3,KB1_1; KB1_12; KB1_14; KB1_16; KB1_18; KB1_6; KB2_1; KB2_10; KB2_11; KB2_13; KB2_2; KB2_8; KB3_1; KB3_10; KB3_16; KB3_18,KB1_1; KB1_6; KB2_1; KB2_2; KB3_1,KB1_10; KB1_17; KB1_3; KB1_4; KB1_8; KB2_12; KB2_4; KB3_3,KB1_12; KB1_14; KB1_16; KB1_18; KB2_10; KB2_11; KB2_13; KB2_8; KB3_10; KB3_16; KB3_18,0.38461538461538464,0.3125,0.3448275862068966,16,0.2857142857142857,0.5,0.5,False,True
C47_Northwind.pdf,C47,tune,KB1_1; KB1_10; KB1_12; KB1_17; KB1_3; KB1_4; KB1_6; KB1_8; KB2_1; KB2_12; KB2_13; KB2_3; KB2_4; KB2_5; KB3_1; KB3_3; KB3_4,KB1_1; KB1_15; KB1_16; KB1_17; KB1_2; KB1_4; KB1_6; KB2_1; KB2_11; KB2_12; KB2_15; KB2_2; KB3_1; KB3_10; KB3_16; KB3_18,KB1_1; KB1_17; KB1_4; KB1_6; KB2_1; KB2_12; KB3_1,KB1_10; KB1_12; KB1_3; KB1_8; KB2_13; KB2_3; KB2_4; KB2_5; KB3_3; KB3_4,KB1_15; KB1_16; KB1_2; KB2_11; KB2_15; KB2_2; KB3_10; KB3_16; KB3_18,0.4117647058823529,0.4375,0.42424242424242425,16,0.5,0.3333333333333333,0.3333333333333333,False,True
C48_Castlerock.pdf,C48,tune,KB1_1; KB1_11; KB1_12; KB1_14; KB1_17; KB1_3; KB1_4; KB1_6; KB1_8; KB2_1; KB2_12; KB2_2; KB2_7; KB2_8; KB3_1; KB3_6; KB3_7,KB1_1; KB1_12; KB1_14; KB1_16; KB1_2; KB1_3; KB1_5; KB1_6; KB1_7; KB2_1; KB2_11; KB2_13; KB2_15; KB2_2; KB2_3; KB3_1; KB3_10; KB3_16; KB3_9,KB1_1; KB1_12; KB1_14; KB1_3; KB1_6; KB2_1; KB2_2; KB3_1,KB1_11; KB1_17; KB1_4; KB1_8; KB2_12; KB2_7; KB2_8; KB3_6; KB3_7,KB1_16; KB1_2; KB1_5; KB1_7; KB2_11; KB2_13; KB2_15; KB2_3; KB3_10; KB3_16; KB3_9,0.47058823529411764,0.42105263157894735,0.4444444444444444,19,0.5555555555555556,0.4,0.3333333333333333,False,True
C49_Everwood.pdf,C49,tune,KB1_1; KB1_10; KB1_12; KB1_15; KB1_17; KB1_3; KB1_4; KB1_6; KB1_8; KB1_9; KB2_1; KB2_10; KB2_12; KB2_3; KB2_4; KB3_1; KB3_10; KB3_3; KB3_9,KB1_1; KB1_12; KB1_14; KB1_16; KB1_2; KB1_6; KB2_1; KB2_10; KB2_13; KB2_15; KB2_2; KB2_4; KB2_5; KB3_10; KB3_16; KB3_3,KB1_1; KB1_12; KB1_6; KB2_1; KB2_10; KB2_4; KB3_10; KB3_3,KB1_10; KB1_15; KB1_17; KB1_3; KB1_4; KB1_8; KB1_9; KB2_12; KB2_3; KB3_1; KB3_9,KB1_14; KB1_16; KB1_2; KB2_13; KB2_15; KB2_2; KB2_5; KB3_16,0.42105263157894735,0.5,0.45714285714285713,16,0.3,0.6,0.5,False,True
C50_Slateharbor.pdf,C50,holdout,KB1_1; KB1_17; KB1_3; KB1_4; KB1_6; KB1_8; KB1_9; KB2_1; KB2_12; KB2_2; KB2_5; KB2_6; KB3_1; KB3_3; KB3_5,KB1_1; KB1_12; KB1_14; KB1_15; KB1_16; KB1_18; KB1_2; KB1_6; KB2_1; KB2_10; KB2_11; KB2_2; KB3_1; KB3_10; KB3_18; KB3_2,KB1_1; KB1_6; KB2_1; KB2_2; KB3_1,KB1_17; KB1_3; KB1_4; KB1_8; KB1_9; KB2_12; KB2_5; KB2_6; KB3_3; KB3_5,KB1_12; KB1_14; KB1_15; KB1_16; KB1_18; KB1_2; KB2_10; KB2_11; KB3_10; KB3_18; KB3_2,0.3333333333333333,0.3125,0.3225806451612903,16,0.2857142857142857,0.4,0.3333333333333333,False,True
